MongoDB shell version: 2.0.2
connecting to: localhost:27017/ingestion_batch_job
1,A1-job-key,22Aug2012-14-0-MediumSampleDataSet.zip,22Aug2012-14-5-MediumSampleDataSet.zip,22Aug2012-14-9-MediumSampleDataSet.zip,22Aug2012-14-14-MediumSampleDataSet.zip
1,Avg-b2-stage-TransformationProcessor-disciplineIncident-elapsedTime,5,6,5,6
1,Avg-b2-stage-TransformationProcessor-disciplineIncident-recordCount,455,602,540,487
1,Avg-b2-stage-TransformationProcessor-grade-elapsedTime,5,8,5,22
1,Avg-b2-stage-TransformationProcessor-grade-recordCount,513,552,489,530
1,Avg-b2-stage-TransformationProcessor-gradebookEntry-elapsedTime,2,1,2,2
0,Avg-b2-stage-TransformationProcessor-gradebookEntry-recordCount,1,1,1,1
0,Avg-b2-stage-TransformationProcessor-gradingPeriod-elapsedTime,2,2,2,2
0,Avg-b2-stage-TransformationProcessor-gradingPeriod-recordCount,40,40,40,40
1,Avg-b2-stage-TransformationProcessor-graduationPlan-elapsedTime,1,2,2,2
0,Avg-b2-stage-TransformationProcessor-graduationPlan-recordCount,5,5,5,5
1,Avg-b2-stage-TransformationProcessor-learningObjective-elapsedTime,4,4,4,6
0,Avg-b2-stage-TransformationProcessor-learningObjective-recordCount,1,1,1,1
1,Avg-b2-stage-TransformationProcessor-learningStandard-elapsedTime,1,3,2,2
0,Avg-b2-stage-TransformationProcessor-learningStandard-recordCount,3,3,3,3
1,Avg-b2-stage-TransformationProcessor-localEducationAgency-elapsedTime,1,1,1,2
0,Avg-b2-stage-TransformationProcessor-localEducationAgency-recordCount,1,1,1,1
1,Avg-b2-stage-TransformationProcessor-objectiveAssessment-elapsedTime,2,2,1,2
0,Avg-b2-stage-TransformationProcessor-objectiveAssessment-recordCount,1,1,1,1
1,Avg-b2-stage-TransformationProcessor-parent-elapsedTime,3,3,3,4
1,Avg-b2-stage-TransformationProcessor-parent-recordCount,394,360,404,379
1,Avg-b2-stage-TransformationProcessor-program-elapsedTime,1,3,2,3
0,Avg-b2-stage-TransformationProcessor-program-recordCount,13,13,13,13
1,Avg-b2-stage-TransformationProcessor-reportCard-elapsedTime,2,3,3,5
0,Avg-b2-stage-TransformationProcessor-reportCard-recordCount,500,500,500,500
1,Avg-b2-stage-TransformationProcessor-school-elapsedTime,1,1,1,2
0,Avg-b2-stage-TransformationProcessor-school-recordCount,5,5,5,5
1,Avg-b2-stage-TransformationProcessor-section-elapsedTime,1,2,2,2
0,Avg-b2-stage-TransformationProcessor-section-recordCount,300,300,300,300
1,Avg-b2-stage-TransformationProcessor-session-elapsedTime,2,1,1,2
0,Avg-b2-stage-TransformationProcessor-session-recordCount,10,10,10,10
0,Avg-b2-stage-TransformationProcessor-staff-elapsedTime,2,2,2,2
0,Avg-b2-stage-TransformationProcessor-staff-recordCount,10,10,10,10
1,Avg-b2-stage-TransformationProcessor-staffCohortAssociation-elapsedTime,1,3,2,2
0,Avg-b2-stage-TransformationProcessor-staffCohortAssociation-recordCount,20,20,20,20
0,Avg-b2-stage-TransformationProcessor-staffEducationOrganizationAssociation-elapsedTime,2,2,2,2
0,Avg-b2-stage-TransformationProcessor-staffEducationOrganizationAssociation-recordCount,10,10,10,10
0,Avg-b2-stage-TransformationProcessor-staffProgramAssociation-elapsedTime,2,2,2,2
0,Avg-b2-stage-TransformationProcessor-staffProgramAssociation-recordCount,13,13,13,13
1,Avg-b2-stage-TransformationProcessor-stateEducationAgency-elapsedTime,1,2,3,2
0,Avg-b2-stage-TransformationProcessor-stateEducationAgency-recordCount,1,1,1,1
1,Avg-b2-stage-TransformationProcessor-student-elapsedTime,4,6,4,4
0,Avg-b2-stage-TransformationProcessor-student-recordCount,500,500,500,500
1,Avg-b2-stage-TransformationProcessor-studentAcademicRecord-elapsedTime,2,2,4,4
0,Avg-b2-stage-TransformationProcessor-studentAcademicRecord-recordCount,500,500,500,500
1,Avg-b2-stage-TransformationProcessor-studentAssessmentAssociation-elapsedTime,532,496,358,518
1,Avg-b2-stage-TransformationProcessor-studentAssessmentAssociation-recordCount,575,612,542,585
1,Avg-b2-stage-TransformationProcessor-studentAssessmentItem-elapsedTime,5,5,6,8
0,Avg-b2-stage-TransformationProcessor-studentAssessmentItem-recordCount,1185,1185,1185,1185
1,Avg-b2-stage-TransformationProcessor-studentCohortAssociation-elapsedTime,5,3,4,5
1,Avg-b2-stage-TransformationProcessor-studentCohortAssociation-recordCount,483,326,392,400
1,Avg-b2-stage-TransformationProcessor-studentCompetency-elapsedTime,3,7,5,6
1,Avg-b2-stage-TransformationProcessor-studentCompetency-recordCount,445,546,525,509
1,Avg-b2-stage-TransformationProcessor-studentCompetencyObjective-elapsedTime,2,1,2,2
